6,376,11,348,13,11
244,85,247,96,19,15
568,347,557,334,17,15
139,448,140,443,13,19
36,169,40,166,14,15
539,458,546,442,12,9
171,251,200,243,12,12
299,573,297,583,11,9
81,234,87,234,17,20
534,598,528,576,16,15
71,454,79,460,19,19
537,418,525,428,11,8
539,458,525,428,12,8
553,339,557,334,14,15
395,165,377,173,12,11
101,94,129,83,16,14
553,339,574,307,14,14
81,234,62,226,17,15
69,224,87,234,12,20
311,390,297,381,14,11
475,460,475,466,12,7
418,253,408,271,16,11
149,431,140,443,20,19
139,448,158,419,13,13
504,18,502,8,11,12
201,358,219,337,15,11
246,581,226,574,9,11
69,224,62,226,12,15
537,418,546,442,11,9
496,61,478,74,14,14
244,141,247,131,16,15
514,308,514,321,15,13
149,431,158,419,20,13
485,298,514,321,11,13
517,512,525,491,7,6
394,320,397,298,11,10
24,111,14,123,16,16
171,251,152,248,12,13
514,277,510,260,18,15
225,342,219,337,14,11
236,316,243,295,10,9
228,376,252,383,11,9
407,289,408,271,14,11
495,231,510,260,13,15
122,81,144,72,13,12
218,244,200,243,14,12
282,607,297,583,13,9
407,289,397,298,14,10
198,244,200,243,15,12
495,231,494,201,13,9
565,414,582,399,10,11
568,347,578,333,17,12
551,296,574,307,17,14
201,358,196,367,15,12
122,81,129,83,13,14
307,213,291,190,11,10
553,339,578,333,14,12
236,316,219,337,10,11
310,454,306,439,13,14
499,616,503,623,17,17
218,244,251,241,14,16
15,612,9,617,14,12
