285,612,302,640,12,13
538,602,506,628,15,17
249,586,233,576,9,12
301,572,297,583,10,10
479,465,528,576,9,15
312,462,295,383,13,11
73,458,81,459,17,18
540,456,477,468,11,7
543,447,526,492,11,5
139,447,224,572,17,13
152,433,159,421,23,12
89,425,139,445,18,19
558,416,547,442,7,9
539,414,524,430,12,9
311,394,258,382,15,9
229,378,220,342,9,11
198,358,197,370,13,12
570,351,580,398,16,13
232,346,244,294,9,9
551,344,579,333,13,12
234,319,189,245,6,14
401,318,428,310,9,9
522,306,550,340,17,16
552,298,576,308,14,13
482,297,456,302,7,9
399,297,397,297,13,9
513,278,513,322,19,14
419,260,408,272,16,11
174,246,87,237,7,18
361,245,334,230,14,13
189,244,157,250,12,12
495,234,509,263,11,16
65,229,64,227,13,15
308,216,268,250,9,13
473,169,494,208,12,9
399,166,379,174,11,12
481,165,495,191,14,8
236,146,286,188,13,9
25,110,41,167,13,14
104,97,148,70,12,13
111,89,170,28,12,9
240,82,249,139,19,12
