147,809,164,777,19,15
96,804,92,816,14,23
187,777,195,797,15,13
165,756,175,764,10,23
25,751,46,723,23,11
53,735,62,722,19,15
151,707,150,735,21,11
56,698,49,702,10,20
185,645,153,654,25,14
187,611,177,623,17,18
161,609,153,644,15,14
133,600,122,584,21,18
105,592,88,606,16,20
179,588,177,617,12,16
82,563,73,586,20,16
66,521,78,522,15,15
68,458,55,450,12,13
166,441,147,465,16,17
44,422,51,427,8,20
149,411,134,425,15,11
222,383,219,381,24,14
150,371,141,388,15,13
25,371,31,345,15,13
201,364,203,372,28,18
25,289,28,306,17,8
149,268,159,264,21,20
125,259,147,289,23,21
146,248,158,259,16,16
109,229,103,226,21,14
201,193,211,210,11,7
104,192,93,205,20,17
109,153,135,157,21,9
48,138,45,160,15,17
74,137,72,144,12,23
59,116,75,117,28,17
65,89,63,58,19,25
64,44,71,53,12,16
68,41,55,39,27,23
