207,133,203,133,20,16
236,44,258,45,17,28
226,11,267,47,30,22
327,105,332,101,18,22
421,245,442,247,26,35
208,307,201,315,20,20
147,200,151,200,18,15
257,113,241,112,20,17
306,366,306,385,12,15
9,186,14,224,25,19
399,466,410,481,14,18
222,94,210,69,17,17
280,424,275,423,20,16
479,336,485,303,24,24
302,14,274,39,18,26
111,292,126,308,19,18
167,263,160,237,13,14
366,328,382,355,23,19
288,178,318,212,18,25
109,387,113,397,12,12
96,52,87,53,22,19
157,481,163,478,15,11
380,241,369,240,19,27
409,283,404,280,26,16
196,385,186,363,18,19
200,210,189,185,18,17
36,182,57,181,19,23
411,436,412,428,18,16
287,120,302,145,22,22
232,240,238,257,22,19
150,339,144,344,20,20
351,309,357,324,22,18
608,483,603,471,15,16
506,359,511,365,22,18
391,187,396,180,24,26
18,486,15,486,15,11
45,195,61,192,20,21
389,335,404,342,20,22
443,326,440,317,22,25
110,89,106,91,25,18
389,205,390,201,31,28
315,207,313,204,19,23
454,293,466,301,20,20
83,208,86,199,28,27
462,224,476,235,31,25
576,327,568,322,13,13
564,388,561,372,26,27
243,33,243,25,36,31
76,197,68,185,17,20
91,408,98,412,10,8
71,319,60,316,20,21
74,28,83,30,18,21
385,457,393,444,15,13
343,197,350,201,25,20
431,196,421,179,14,11
270,66,285,61,31,25
463,386,459,422,26,17
221,427,214,430,22,18
435,225,421,235,31,29
301,343,290,332,18,20
161,437,166,439,19,15
179,11,192,35,15,16
468,466,470,453,8,11
293,38,283,17,19,19
44,257,52,258,23,23
582,398,603,405,17,12
320,485,312,488,17,17
384,134,357,118,14,17
371,137,379,150,28,28
7,211,18,220,17,20
