180,601,195,629,16,19
162,749,193,795,17,15
60,30,57,45,23,23
92,805,91,810,19,22
150,412,140,389,16,16
132,259,143,284,22,19
89,101,86,111,17,17
160,609,175,618,15,16
137,434,141,430,18,16
41,418,50,426,14,19
55,151,43,164,20,17
109,592,122,579,18,19
183,636,199,629,22,16
108,224,119,214,19,20
67,519,77,520,15,15
16,202,8,199,19,18
54,709,52,726,17,15
149,369,145,463,16,17
18,327,27,342,15,16
178,773,168,770,15,19
103,187,95,205,22,20
16,369,3,369,16,16
7,251,13,260,18,21
136,603,88,604,21,20
145,254,157,261,21,19
199,194,212,212,12,8
210,371,206,374,23,20
23,299,24,300,18,10
59,133,72,125,16,21
108,148,109,146,21,11
65,98,135,156,21,11
82,562,74,580,20,16
166,443,165,462,19,21
34,12,33,25,23,20
62,447,52,448,16,16
152,715,149,730,19,14
