157,481,163,478,15,11
7,211,14,224,17,19
9,186,18,220,25,20
301,343,290,332,18,20
150,339,144,344,20,20
111,292,126,308,19,18
293,38,274,39,19,26
608,483,603,471,15,16
44,257,52,258,23,23
207,133,203,133,20,16
232,240,238,257,22,19
83,208,86,199,28,27
343,197,350,201,25,20
320,485,312,488,17,17
463,386,459,422,26,17
243,33,243,25,36,31
161,437,166,439,19,15
443,326,440,317,22,25
179,11,192,35,15,16
147,200,151,200,18,15
257,113,241,112,20,17
74,28,83,30,18,21
385,457,393,444,15,13
409,283,404,280,26,16
288,178,318,212,18,25
391,187,396,180,24,26
36,182,61,192,19,21
399,466,410,481,14,18
200,210,189,185,18,17
564,388,561,372,26,27
196,385,186,363,18,19
431,196,421,179,14,11
454,293,466,301,20,20
582,398,603,405,17,12
226,11,267,47,30,22
327,105,332,101,18,22
222,94,210,69,17,17
576,327,568,322,13,13
411,436,412,428,18,16
18,486,15,486,15,11
71,319,60,316,20,21
208,307,201,315,20,20
76,197,68,185,17,20
462,224,476,235,31,25
421,245,421,235,26,29
270,66,285,61,31,25
91,408,98,412,10,8
110,89,106,91,25,18
167,263,160,237,13,14
380,241,369,240,19,27
468,466,470,453,8,11
389,335,404,342,20,22
236,44,258,45,17,28
96,52,87,53,22,19
479,336,485,303,24,24
351,309,382,355,22,19
506,359,511,365,22,18
302,14,283,17,18,19
45,195,57,181,20,23
287,120,302,145,22,22
371,137,379,150,28,28
306,366,306,385,12,15
315,207,313,204,19,23
221,427,214,430,22,18
109,387,113,397,12,12
389,205,390,201,31,28
435,225,442,247,31,35
366,328,357,324,23,18
280,424,275,423,20,16
384,134,357,118,14,17
