553,339,557,334,14,15
514,277,510,260,18,15
228,376,252,383,11,9
81,234,87,234,17,20
149,431,158,419,20,13
244,85,247,96,19,15
71,454,79,460,19,19
307,213,291,190,11,10
246,581,226,574,9,11
236,316,243,295,10,9
24,111,14,123,16,16
244,141,247,131,16,15
514,308,514,321,15,13
171,251,152,248,12,13
299,573,297,583,11,9
517,512,525,491,7,6
504,18,502,8,11,12
15,612,9,617,14,12
218,244,251,241,14,16
6,376,11,348,13,11
485,298,459,302,11,10
122,81,129,83,13,14
225,342,219,337,14,11
551,296,574,307,17,14
407,289,408,271,14,11
395,165,377,173,12,11
496,61,478,74,14,14
565,414,582,399,10,11
310,454,306,439,13,14
568,347,578,333,17,12
475,460,475,466,12,7
69,224,62,226,12,15
495,231,494,201,13,9
537,418,546,442,11,9
282,607,304,636,13,11
394,320,397,298,11,10
534,598,528,576,16,15
499,616,503,623,17,17
311,390,297,381,14,11
139,448,140,443,13,19
201,358,196,367,15,12
198,244,200,243,15,12
36,169,40,166,14,15
