285,612,302,640,12,13
538,602,506,628,15,17
249,586,224,572,9,13
301,572,297,583,10,10
479,465,477,468,9,7
540,456,526,492,11,5
543,447,547,442,11,9
139,447,139,445,17,19
152,433,159,421,23,12
89,425,81,459,18,18
558,416,580,398,7,13
539,414,524,430,12,9
311,394,295,383,15,11
229,378,258,382,9,9
198,358,197,370,13,12
570,351,579,333,16,12
232,346,220,342,9,11
551,344,550,340,13,16
234,319,244,294,6,9
401,318,428,310,9,9
522,306,513,322,17,14
552,298,576,308,14,13
482,297,456,302,7,9
399,297,397,297,13,9
513,278,509,263,19,16
419,260,408,272,16,11
174,246,157,250,7,12
361,245,334,230,14,13
189,244,189,245,12,14
495,234,494,208,11,9
65,229,87,237,13,18
308,216,286,188,9,9
473,169,495,191,12,8
399,166,379,174,11,12
236,146,249,139,13,12
25,110,41,167,13,14
